排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
1846,8114,振樺電,223.5,-2.0,-0.89,2026,0.0,-0.24,13.6,-14.7,1.91,0.72,33.0,0.29,51.5,13.9,0,0.0
1847,8121,越峰,29.45,1.1,3.88,2026,0.0,0.0,2.06,1.13,0.0,0.0,49.2,-0.01,48.8,-1.12,0,0.0
1848,8131,福懋科,64.6,1.9,3.03,2026,0.0,0.0,3.44,0.47,0.17,-1.0,67.1,-3.58,29.3,4.11,0,0.0
1849,8147,正淩,126.0,0.5,0.4,2026,0.0,0.0,15.5,3.31,0.0,-1.23,26.1,-0.15,58.4,-1.93,0,0.0
1850,8155,博智,308.5,13.0,4.4,2026,0.0,0.0,19.1,14.0,0.72,-2.41,42.2,0.66,38.0,-11.8,0,-0.38
1851,8162,微矽電子-創,54.4,1.6,3.03,2026,0.0,0.0,0.88,0.61,0.99,0.0,30.1,-0.92,68.0,0.31,0,0.0
1852,8163,達方,31.65,0.5,1.61,2026,0.46,-0.21,6.69,-6.8,5.94,-1.97,28.9,0.05,58.0,8.92,0,0.0
1853,8176,智捷,9.9,0.12,1.23,2026,0.0,0.0,0.78,-0.78,0.01,-0.07,16.7,-4.53,82.5,5.39,0,0.0
1854,8182,加高,40.0,1.45,3.76,2026,0.0,0.0,51.5,-0.01,0.63,0.23,8.08,-0.81,39.8,0.59,0,0.0
1855,8201,無敵,12.0,0.1,0.84,2026,0.0,0.0,0.66,-0.26,0.01,0.0,41.2,-0.05,58.1,0.31,0,0.0
1856,8210,勤誠,1075.0,-40.0,-3.59,2026,3.16,0.84,14.6,3.25,7.34,-0.73,28.8,-2.32,46.1,-1.04,0,0.0
1857,8213,志超,30.7,0.4,1.32,2026,0.0,0.0,20.7,3.3,0.46,-0.02,16.6,-0.63,62.3,-2.65,0,0.0
1858,8215,明基材,25.55,1.05,4.29,2026,0.03,0.0,1.23,-1.29,1.91,-0.65,45.0,-0.18,51.8,2.12,0,0.0
1859,8222,寶一,38.0,0.35,0.93,2026,0.0,0.0,2.21,-3.48,0.58,0.37,23.1,0.08,74.1,3.03,0,0.0
1860,8227,巨有科技,144.0,-1.0,-0.69,2026,0.0,0.0,1.61,0.92,0.5,0.47,10.4,0.06,87.5,-1.45,0,0.0
1861,8234,新漢,73.8,3.8,5.43,2026,0.0,0.0,2.2,-6.8,1.35,0.3,28.1,1.48,68.4,5.03,0,0.0
1862,8240,華宏,43.5,1.15,2.72,2026,0.0,0.0,6.75,-1.08,0.39,0.15,44.4,-0.59,48.5,1.52,0,0.0
1863,8255,朋程,142.0,1.0,0.71,2026,0.0,-0.63,6.74,-2.35,2.15,-2.04,31.9,0.59,59.2,4.44,0,0.0
1864,8261,富鼎,179.0,7.0,4.07,2026,0.01,-0.13,5.55,-3.63,0.26,-0.23,34.5,0.05,59.6,3.93,0,0.0
1865,8271,宇瞻,235.5,0.0,0.0,2026,0.0,0.0,21.1,16.8,1.19,-0.35,24.0,-6.21,53.7,-10.2,0,0.0
1866,8272,全景軟體,64.6,0.2,0.31,2026,0.0,0.0,0.23,-0.37,0.0,0.0,23.7,-0.07,76.0,0.44,0,0.0
1867,8277,商丞,8.01,-0.09,-1.11,2026,0.0,0.0,2.14,1.65,0.0,0.0,11.8,0.02,86.1,-1.67,0,0.0
1868,8279,生展,89.0,0.0,0.0,2026,0.0,0.0,5.57,0.61,0.0,-0.08,54.4,0.21,40.1,-0.73,0,0.0
1869,8289,泰藝,44.65,2.75,6.56,2026,0.02,0.02,1.07,-0.04,3.14,0.33,12.4,0.5,83.3,-0.81,0,0.0
1870,8291,尚茂,41.95,0.95,2.32,2026,0.0,0.0,73.4,0.0,0.0,0.0,4.93,0.02,21.6,-0.02,0,0.0
1871,8299,群聯,2040.0,20.0,0.99,2026,2.38,1.1,38.0,2.9,12.6,-11.7,5.01,0.95,42.0,6.7,0,0.0
1872,8341,日友,77.2,1.2,1.58,2026,0.0,0.0,4.02,-2.11,0.27,-0.23,48.5,-0.01,47.2,2.35,0,0.0
1873,8342,益張,88.0,0.4,0.46,2026,0.0,0.0,0.14,-0.07,0.24,0.0,69.8,1.79,29.8,-1.71,0,0.0
1874,8354,冠好,16.65,1.5,9.9,2026,0.0,0.0,0.48,-0.84,0.01,-0.14,22.9,9.51,76.7,-8.52,0,0.0
1875,8367,建新國際,40.45,0.4,1.0,2026,0.0,0.0,1.58,-1.13,1.9,0.28,51.8,3.53,44.7,-2.67,0,0.0
1876,8374,羅昇,88.9,8.0,9.89,2026,0.0,0.0,2.25,0.06,0.59,-0.19,68.6,-0.2,28.6,0.33,0,0.0
1877,8390,金益鼎,102.0,5.0,5.15,2026,0.0,0.0,11.0,9.36,0.6,0.08,22.6,0.93,65.8,-10.4,0,0.0
1878,8401,白紗科,22.9,0.15,0.66,2026,0.0,0.0,0.18,-1.78,12.9,-0.37,7.84,-0.01,79.1,2.17,0,0.0
1879,8403,盛弘,19.1,0.25,1.33,2026,0.0,0.0,1.78,-0.03,0.0,0.0,31.0,-0.27,67.2,0.3,0,0.0
1880,8404,百和興業-KY,16.15,-0.05,-0.31,2026,0.0,0.0,53.2,-1.15,0.0,-0.05,6.74,0.28,40.1,0.92,0,0.0
1881,8409,商之器,18.1,-0.25,-1.36,2026,0.0,0.0,0.09,0.03,0.0,0.0,22.5,0.41,77.4,-0.44,0,0.0
1882,8410,森田,31.45,-0.15,-0.47,2026,0.0,0.0,0.62,0.09,8.3,8.3,36.0,-9.08,55.0,0.69,0,0.0
1883,8411,福貞-KY,13.05,0.25,1.95,2026,0.0,0.0,53.7,0.04,0.07,0.01,12.8,0.0,33.4,-0.06,0,0.0
1884,8415,大國鋼,38.4,0.35,0.92,2026,0.0,0.0,8.42,-4.03,0.0,0.0,74.8,4.54,16.8,-0.51,0,0.0
1885,8416,實威,169.5,0.0,0.0,2026,0.0,0.0,0.78,-0.03,0.0,0.0,41.7,0.75,57.5,-0.72,0,0.0
1886,8422,可寧衛*,26.8,0.5,1.9,2026,0.02,0.02,4.79,-6.74,6.87,-6.81,22.2,-1.79,66.1,15.3,0,0.0
1887,8423,保綠-KY,17.85,-0.15,-0.83,2026,0.0,0.0,24.9,-0.12,0.14,0.03,10.4,-1.02,64.5,1.1,0,0.0
1888,8424,惠普,69.0,-0.2,-0.29,2026,0.0,0.0,0.5,0.06,0.0,0.0,58.3,1.62,41.2,-1.68,0,0.0
1889,8426,紅木-KY,21.25,-0.15,-0.7,2026,0.0,0.0,67.2,-0.12,0.0,0.0,1.0,-0.21,31.8,0.32,0,0.0
1890,8429,金麗-KY,6.04,-0.01,-0.17,2026,0.0,0.0,29.2,-3.74,0.14,-0.06,0.8,0.15,69.8,3.66,0,0.0
1891,8432,東生華,50.8,0.0,0.0,2026,0.0,0.0,0.9,-1.15,0.0,0.0,60.0,-0.31,39.1,1.46,0,0.0
1892,8433,弘帆,55.1,0.2,0.36,2026,0.0,0.0,0.81,-0.35,0.01,-0.14,38.5,-1.2,60.6,1.69,0,0.0
1893,8435,鉅邁,53.8,-0.2,-0.37,2026,0.0,0.0,0.7,-0.36,0.13,0.06,19.0,-4.44,80.2,4.74,0,0.0
1894,8436,大江,125.5,8.5,7.26,2026,0.0,0.0,13.9,-1.43,0.0,0.0,25.7,-3.47,60.4,4.9,0,0.0
1895,8437,大地-KY,9.07,-0.03,-0.33,2026,0.0,0.0,21.7,-1.87,0.05,-0.57,2.19,-0.97,76.1,5.16,0,-1.75
1896,8438,昶昕,66.6,1.6,2.46,2026,0.0,0.0,0.82,-0.14,0.19,0.19,0.89,-6.18,98.1,6.12,0,0.0
1897,8440,綠電,19.85,0.3,1.53,2026,0.0,0.0,0.8,-2.41,0.31,0.31,31.8,-5.83,67.1,7.93,0,0.0
1898,8442,威宏-KY,44.0,-0.3,-0.68,2026,0.0,0.0,55.7,-2.29,0.31,0.28,6.98,-0.78,37.0,2.78,0,0.0
1899,8443,阿瘦,11.4,0.0,0.0,2026,0.0,0.0,3.86,-0.16,14.0,-1.26,22.5,1.51,59.6,-0.09,0,0.0
1900,8446,華研,85.2,0.1,0.12,2026,0.0,0.0,4.62,-1.6,4.39,-3.28,18.6,1.25,72.4,3.62,0,0.0
1901,8450,霹靂,15.15,0.05,0.33,2026,0.0,0.0,0.09,-0.16,0.02,0.02,32.3,-0.08,67.6,0.23,0,0.0
1902,8454,富邦媒,274.5,-9.0,-3.17,2026,0.0,0.0,12.5,-2.38,0.0,0.0,67.4,0.04,20.1,2.34,0,0.0
1903,8455,大拓-KY,24.7,0.7,2.92,2026,0.0,0.0,87.8,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0,0.0
1904,8463,潤泰材,20.8,0.0,0.0,2026,0.0,0.0,0.46,-0.03,0.01,0.01,65.7,0.11,33.8,-0.09,0,0.0
1905,8464,億豐,379.0,-2.0,-0.52,2026,1.68,-0.73,41.3,0.86,10.3,-1.56,6.92,1.32,39.8,0.11,0,0.0
1906,8467,波力-KY,106.0,9.5,9.84,2026,0.0,-1.23,46.3,2.32,0.09,-3.21,2.4,0.28,51.2,1.84,0,0.0
1907,8472,夠麻吉,70.4,1.5,2.18,2026,0.0,0.0,1.28,-1.5,0.0,0.0,57.0,-2.74,41.7,4.24,0,0.0
1908,8473,山林水,42.3,1.4,3.42,2026,0.0,0.0,1.7,-3.17,0.2,0.16,65.0,-1.95,33.2,4.96,0,0.0
1909,8477,創業家,15.9,0.25,1.6,2026,0.0,0.0,0.17,-0.02,0.0,0.0,73.9,-0.03,26.0,0.04,0,0.0
1910,8478,東哥遊艇,147.0,2.0,1.38,2026,0.0,0.0,40.2,-0.28,0.19,0.04,15.5,0.39,44.1,0.82,0,-0.96
1911,8481,政伸,40.4,-0.1,-0.25,2026,0.0,0.0,0.33,-0.03,0.79,-0.03,21.9,0.03,76.9,0.03,0,0.0
1912,8487,愛爾達-創,72.6,-0.3,-0.41,2026,0.0,0.0,0.73,0.21,0.33,0.16,43.6,0.01,55.4,-0.38,0,0.0
1913,8488,吉源-KY,10.0,-0.05,-0.5,2026,0.0,0.0,69.6,-0.29,0.0,0.0,0.24,-0.14,30.2,0.42,0,0.0
1914,8489,三貝德,23.05,0.15,0.66,2026,0.0,0.0,4.71,-1.91,0.17,-3.92,17.1,1.33,78.0,4.5,0,0.0
1915,8499,鼎炫-KY,263.0,5.0,1.94,2026,0.0,0.0,72.1,0.33,0.35,-1.22,0.87,-0.36,26.7,1.42,0,-0.17
1916,8905,裕國,34.75,0.0,0.0,2026,0.0,0.0,0.21,-0.19,0.0,0.0,76.1,4.69,23.7,-4.5,0,0.0
1917,8917,欣泰,52.5,-0.1,-0.19,2026,24.6,0.0,1.36,0.0,0.0,0.0,17.6,-2.8,56.4,2.8,0,0.0
1918,8921,沈氏,17.2,-0.1,-0.58,2026,0.0,0.0,0.19,0.0,0.0,0.0,60.1,0.5,39.7,-0.5,0,0.0
1919,8923,時報,19.0,0.2,1.06,2026,0.0,0.0,4.15,-0.08,0.04,0.03,61.1,0.0,34.7,0.05,0,0.0
1920,8924,大田,51.5,0.0,0.0,2026,0.0,0.0,3.0,-1.45,0.27,0.0,22.7,0.77,74.1,0.67,0,0.0
1921,8926,台汽電,57.0,-5.0,-8.06,2026,27.5,0.0,9.95,2.69,1.59,0.91,13.5,-0.07,47.4,-3.53,0,0.0
1922,8928,鉅明,23.45,0.6,2.63,2026,0.0,0.0,0.34,-0.12,0.25,0.16,37.3,0.24,62.1,-0.29,0,0.0
1923,8929,富堡,13.25,-0.05,-0.38,2026,0.0,0.0,0.25,-0.63,0.1,0.0,24.7,-1.54,75.0,2.17,0,0.0
1924,8931,大汽電,40.6,-0.15,-0.37,2026,0.0,0.0,0.14,-0.07,0.02,0.02,73.3,-0.43,26.6,0.49,0,0.0
1925,8933,愛地雅,4.49,0.0,0.0,2026,0.0,0.0,0.88,0.08,0.0,0.0,30.9,0.36,68.3,-0.44,0,0.0
1926,8935,邦泰,17.55,0.05,0.29,2026,0.0,0.0,0.64,0.1,0.0,0.0,19.9,-5.11,79.4,5.02,0,0.0
1927,8936,國統,52.7,0.0,0.0,2026,0.17,0.17,8.64,1.39,0.14,-0.25,11.1,-0.25,79.9,-1.06,0,0.0
1928,8940,新天地,15.35,0.0,0.0,2026,0.0,0.0,8.38,0.0,0.0,0.0,25.8,-0.03,65.9,0.03,0,0.0
1929,8941,關中,43.4,0.0,0.0,2026,0.0,0.0,0.19,-1.62,0.0,0.0,64.3,-1.7,35.6,3.32,0,0.0
1930,8942,森鉅,38.85,0.25,0.65,2026,0.0,0.0,13.3,-0.39,1.87,-0.95,11.6,0.22,73.3,1.11,0,0.0
1931,9802,鈺齊-KY,71.3,1.2,1.71,2026,0.0,0.0,41.2,-8.51,8.02,-6.38,5.35,2.73,45.4,12.2,0,0.0
1932,9902,台火,13.85,0.2,1.47,2026,0.0,0.0,2.02,0.65,0.07,-0.1,30.9,0.06,67.0,-0.62,0,0.0
1933,9904,寶成,24.1,0.2,0.84,2026,1.39,-0.41,38.4,-11.1,13.6,5.77,21.6,0.08,25.1,5.71,0,0.0
1934,9905,大華,21.35,0.4,1.91,2026,0.0,0.0,2.18,-0.09,0.0,0.0,60.2,-0.29,37.7,0.37,0,0.0
1935,9906,欣巴巴,40.2,1.2,3.08,2026,0.0,0.0,1.26,-1.62,0.41,-0.01,41.1,-5.08,57.2,6.71,0,0.0
1936,9907,統一實,14.85,0.25,1.71,2026,0.0,0.0,17.3,-1.64,0.03,0.03,55.5,3.92,27.1,-2.32,0,0.0
1937,9908,大台北,29.05,-0.1,-0.34,2026,0.0,0.0,1.74,0.59,6.19,0.12,55.8,0.45,36.3,-1.16,0,0.0
1938,9910,豐泰,70.2,0.7,1.01,2026,1.75,-1.44,10.2,-1.42,9.13,0.83,17.1,3.91,61.8,-1.87,0,0.0
1939,9911,櫻花,82.8,0.2,0.24,2026,0.0,0.0,18.2,-1.34,7.4,1.25,44.4,1.47,30.0,-1.37,0,0.0
1940,9912,偉聯,12.4,0.0,0.0,2026,0.0,0.0,15.7,0.07,0.0,0.0,15.7,4.86,68.6,-4.93,0,0.0
1941,9914,美利達,86.0,5.2,6.44,2026,0.0,-2.0,22.5,-10.9,7.18,-8.45,4.38,0.85,65.9,20.5,0,0.0
1942,9917,中保科,107.5,-0.5,-0.46,2026,0.15,-0.01,39.7,-2.05,11.4,-3.21,25.9,1.14,22.9,4.13,0,0.0
1943,9918,欣天然,42.5,0.05,0.12,2026,25.8,0.0,2.53,-0.06,0.01,0.0,39.2,0.94,32.5,-0.88,0,0.0
1944,9919,康那香,13.95,-0.1,-0.71,2026,0.0,0.0,4.58,-0.38,0.0,0.0,20.8,-0.07,74.6,0.44,0,0.0
1945,9921,巨大,101.5,9.1,9.85,2026,0.55,-1.01,26.9,-1.59,3.24,-9.3,11.4,0.6,57.9,11.3,0,0.0
1946,9924,福興,38.45,-0.6,-1.54,2026,1.19,-0.76,11.1,-2.1,1.04,-1.24,45.7,6.02,40.9,-1.92,0,0.0
1947,9925,新保,40.05,0.0,0.0,2026,0.0,0.0,18.0,0.0,4.11,-0.09,41.6,0.45,36.3,-0.37,0,0.0
1948,9926,新海,49.3,0.0,0.0,2026,0.0,0.0,0.57,0.26,0.08,0.0,68.4,0.23,31.0,-0.49,0,0.0
1949,9927,泰銘,68.8,-0.6,-0.86,2026,0.0,0.0,6.73,-2.04,0.55,0.01,51.8,2.53,40.9,-0.5,0,0.0
1950,9928,中視,18.2,0.0,0.0,2026,0.0,0.0,0.0,0.0,0.0,0.0,69.3,-0.02,30.7,0.02,0,0.0
1951,9929,秋雨,11.45,0.0,0.0,2026,0.0,0.0,0.21,-0.04,0.0,0.0,47.2,0.08,52.6,-0.04,0,0.0
1952,9930,中聯資源,62.3,0.0,0.0,2026,0.0,0.0,1.93,-0.93,4.33,0.9,73.7,-0.03,20.1,0.06,0,0.0
1953,9931,欣高,33.6,-0.1,-0.3,2026,21.3,0.0,0.57,0.01,1.16,0.01,45.8,-0.22,31.2,0.2,0,0.0
1954,9933,中鼎,38.25,0.5,1.32,2026,0.0,0.0,14.2,0.07,23.7,-3.71,17.2,-3.67,44.9,7.85,0,-0.55
1955,9934,成霖,12.0,1.05,9.59,2026,0.07,-0.27,13.4,-4.63,0.1,-0.31,18.6,0.05,67.9,5.15,0,0.0
1956,9937,全國,55.1,0.0,0.0,2026,0.0,0.0,1.68,-0.11,0.0,0.0,76.6,7.05,21.7,-6.94,0,0.0
1957,9938,百和,42.0,-0.1,-0.24,2026,0.0,0.0,15.1,-10.6,9.52,-2.94,11.6,-0.25,63.9,13.7,0,0.0
1958,9939,宏全,144.5,0.0,0.0,2026,0.0,0.0,13.3,-6.32,17.4,-2.06,17.0,-1.62,52.3,10.0,0,0.0
1959,9940,信義,21.25,0.45,2.16,2026,0.09,0.09,3.92,-2.58,0.26,-0.2,64.8,0.24,30.9,2.45,0,0.0
1960,9941,裕融,85.2,0.9,1.07,2026,0.02,0.0,6.54,1.47,2.44,-4.0,56.4,0.8,34.6,1.73,0,0.0
1961,9942,茂順,118.5,3.0,2.6,2026,0.0,0.0,3.94,-0.37,0.86,0.04,30.8,11.7,64.4,-11.4,0,0.0
1962,9943,好樂迪,51.6,0.2,0.39,2026,0.0,0.0,1.18,0.12,0.06,-0.01,68.6,-0.19,30.2,0.12,0,-0.04
1963,9944,新麗,17.6,0.0,0.0,2026,0.0,0.0,0.92,-0.8,0.0,-0.1,65.4,0.04,33.6,0.85,0,0.0
1964,9945,潤泰新,27.25,0.5,1.87,2026,0.41,-0.02,9.12,-3.71,0.23,0.02,49.4,0.15,40.9,3.55,0,0.0
1965,9949,琉園,24.05,0.5,2.12,2026,0.0,0.0,2.42,0.28,0.0,0.0,36.3,13.0,61.3,-13.3,0,0.0
1966,9950,萬國通,10.5,0.05,0.48,2026,0.0,0.0,0.05,0.01,0.0,0.0,21.7,-3.08,78.2,3.08,0,0.0
1967,9955,佳龍,24.55,0.65,2.72,2026,0.0,0.0,5.43,4.66,1.03,-0.4,10.0,-0.74,83.5,-3.52,0,0.0
1968,9958,世紀鋼,116.0,2.5,2.2,2026,0.01,-1.55,12.5,2.6,1.48,-1.65,22.4,-0.06,63.6,0.66,0,0.0
1969,9962,有益,10.05,0.07,0.7,2026,0.0,0.0,0.37,0.01,0.0,0.0,19.9,0.14,79.8,-0.15,0,0.0
